Order_ID,Delivery_Partners,Agent_Rating,Sellers location,Buyers Location,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Exp 1st Attempt days,Actual 1st Attempt days,Status,Exp 2nd Attempt days,Actual 2nd Attempt days,Final delivery Status,Total Attempt,Exp Total Days ,Actual Total Days,SLA Status,Category
qvfd540651807,FedEx,4.1,Bhandup,Palghar,12-03-2022,23:20:00,23:30:00,Cloudy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Electronics
gzfn634029300,UPS,4,Malad,Worli,16-03-2022,21:20:00,21:35:00,Windy,Jam ,motorcycle ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Cosmetics
xjps180812498,DHL,4.8,Ghatkopar,Virar,02-04-2022,23:35:00,23:45:00,Windy,Low ,van,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
ahpg083217029,UPS,4.8,Malad,Ulhasnagar,01-04-2022,22:35:00,22:50:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
itii428784576,FedEx,4.1,Bhandup,Vashi,05-03-2022,22:35:00,22:40:00,Stormy,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
asis944862845,Dehlivery,4.1,Ghatkopar,Andheri,11-02-2022,23:25:00,23:35:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
xzkg140273315,India Post,4.9,Bhandup,Borivali,11-02-2022,13:35:00,13:40:00,Cloudy,High ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Shoes
zotl583816092,UPS,1.6,Malad,Worli,08-03-2022,21:35:00,21:45:00,Stormy,Jam ,scooter ,Urban,2,0,Failed,1,0,Failed,Failed,3,4,SLA Breached,Grocery
agoo012263585,UPS,4.6,Malad,Worli,02-04-2022,22:35:00,22:45:00,Cloudy,Low ,scooter ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Sports
ezif478391605,FedEx,4.9,Malad,Airoli,08-03-2022,18:55:00,19:10:00,Sunny,Medium ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
tixw400453550,DHL,2.5,Ghatkopar,Meera Road,03-04-2022,14:15:00,14:25:00,Windy,High ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Toys
mrfx777445506,DHL,4.8,Ghatkopar,Meera Road,30-03-2022,11:00:00,11:10:00,Sandstorms,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Kitchen
czjt755903822,FedEx,5,Bhandup,Palghar,01-04-2022,09:45:00,09:55:00,Sunny,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Clothing
zqtj827550147,Dehlivery,4.9,Ghatkopar,Andheri,28-03-2022,08:40:00,08:55:00,Stormy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Kitchen
luka250567007,DHL,4.8,Ghatkopar,Virar,18-03-2022,23:00:00,23:10:00,Fog,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Books
zkat983341391,FedEx,4.1,Bhandup,Palghar,14-03-2022,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Grocery
ydhu273019158,India Post,2.5,Bhandup,Bandra,04-04-2022,19:45:00,19:50:00,Sandstorms,Jam ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Clothing
rpuq263118672,UPS,4.6,Malad,Thane,08-03-2022,19:10:00,19:25:00,Stormy,Jam ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
nvck471535045,India Post,4.9,Bhandup,Bandra,13-02-2022,10:55:00,11:00:00,Fog,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Grocery
rxgx102974679,DHL,4.9,Ghatkopar,Virar,24-03-2022,21:40:00,21:45:00,Sunny,Jam ,van,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Apparel
ikas794013321,Dehlivery,4.9,Malad,Andheri,19-03-2022,19:00:00,19:15:00,Windy,Medium ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Snacks
dsyl658069912,India Post,4.8,Bhandup,Bandra,09-03-2022,16:45:00,16:55:00,Cloudy,Medium ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
wzoc344425774,FedEx,5,Malad,Airoli,19-03-2022,11:30:00,11:40:00,Sunny,High ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Shoes
dwnh519656346,UPS,4.9,Malad,Ulhasnagar,03-04-2022,15:10:00,15:15:00,Fog,Medium ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Books
yakw330215137,UPS,4.8,Malad,Ulhasnagar,25-03-2022,22:45:00,22:55:00,Stormy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
dcdm719150402,Dehlivery,5,Ghatkopar,Vasai,13-02-2022,22:10:00,22:25:00,Cloudy,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Home
fris321432357,UPS,4.8,Malad,Thane,04-04-2022,20:45:00,20:55:00,Sandstorms,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Kitchen
mxuw713526914,UPS,2.5,Malad,Ulhasnagar,26-03-2022,22:50:00,23:05:00,Cloudy,Low ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Clothing
carl449634661,Dehlivery,2.5,Ghatkopar,Vasai,10-03-2022,17:55:00,18:00:00,Sunny,Medium ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Snacks
msnw786727644,India Post,4.6,Bhandup,Kandivali,14-02-2022,22:45:00,23:00:00,Sunny,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
bbow373480117,India Post,4.1,Bhandup,Kandivali,02-03-2022,20:35:00,20:50:00,Fog,Jam ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Apparel
vizd072469706,UPS,3,Malad,Worli,26-03-2022,09:25:00,09:40:00,Windy,Low ,scooter ,Urban,2,2,Delivered,1,1,Delivered,1,2,2,On Time,Shoes
etss702593505,FedEx,2.5,Bhandup,Vashi,13-03-2022,20:15:00,20:20:00,Cloudy,Jam ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Sports
rxxx129114996,Dehlivery,4.8,Ghatkopar,Vasai,29-03-2022,22:25:00,22:35:00,Sandstorms,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
bull762076829,FedEx,4.9,Malad,Airoli,30-03-2022,21:55:00,22:00:00,Sunny,Jam ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Books
fpkv432118410,UPS,4.4,Malad,Khopoli,12-03-2022,22:40:00,22:55:00,Cloudy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Shoes
udpq945815554,FedEx,5,Malad,Airoli,31-03-2022,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
qeqp930384577,FedEx,4.9,Bhandup,Vashi,17-03-2022,15:25:00,15:40:00,Fog,Medium ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Pet Supplies
cwvq091479872,DHL,4.8,Ghatkopar,Meera Road,15-02-2022,10:20:00,10:30:00,Sandstorms,Low ,van,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Shoes
ivtf765857546,India Post,4.9,Bhandup,Kandivali,15-02-2022,20:55:00,21:00:00,Stormy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Skincare
emlt327861941,DHL,4.8,Ghatkopar,Virar,07-03-2022,10:40:00,10:50:00,Stormy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Grocery
rufz727804632,FedEx,4.8,Bhandup,Palghar,28-03-2022,15:55:00,16:05:00,Fog,Medium ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Apparel
gkrb550339468,India Post,4.6,Bhandup,Kandivali,16-03-2022,20:10:00,20:15:00,Cloudy,Jam ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Home
tsec016509855,DHL,2.5,Ghatkopar,Virar,17-03-2022,12:10:00,12:15:00,Sunny,High ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Sports
xczs106918282,UPS,4.6,Malad,Worli,15-03-2022,15:30:00,15:45:00,Fog,Medium ,scooter ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Outdoors
lgee738117860,Dehlivery,4.8,Ghatkopar,Vasai,25-03-2022,22:10:00,22:15:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Apparel
nxfs257449148,UPS,2.5,Malad,Malad,09-03-2022,10:35:00,10:45:00,Fog,Low ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Books
wycd588946822,Dehlivery,2.5,Ghatkopar,Andheri,05-03-2022,23:50:00,00:05:00,Fog,Low ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Shoes
bhdi726355812,DHL,3,Ghatkopar,Meera Road,11-02-2022,21:10:00,21:25:00,Fog,Jam ,motorcycle ,Metropolitian,5,2,Delivered,2,1,Delivered,1,5,2,Early,Sports
wnbv620439671,FedEx,4.1,Bhandup,Palghar,12-03-2022,20:25:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Pet Supplies
jvco758418006,India Post,4.6,Bhandup,Kandivali,29-03-2022,20:50:00,21:00:00,Fog,Jam ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Electronics
zkks967394571,FedEx,2.5,Bhandup,Vikhroli,19-03-2022,12:35:00,12:45:00,Windy,High ,van,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Snacks
oiyh656906407,Dehlivery,2.5,Malad,Andheri,10-03-2022,21:00:00,21:15:00,Cloudy,Jam ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Apparel
dfit633531471,UPS,4.8,Malad,Khopoli,16-02-2022,23:40:00,23:55:00,Windy,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Sports
qhxw976953297,Dehlivery,4.4,Ghatkopar,Vasai,27-03-2022,18:15:00,18:20:00,Cloudy,Medium ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
mryb985330207,Dehlivery,2.5,Ghatkopar,Vasai,27-03-2022,18:20:00,18:25:00,Stormy,Medium ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Electronics
jzam829230168,UPS,5,Malad,Khopoli,24-03-2022,11:45:00,11:50:00,Stormy,High ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Kitchen
xnod694467359,Dehlivery,4.6,Ghatkopar,Vasai,09-03-2022,20:45:00,20:55:00,Stormy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Home
hcno407153953,India Post,4.8,Bhandup,Kandivali,03-03-2022,21:55:00,22:10:00,Stormy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Home
gyjc869072111,Dehlivery,4.8,Ghatkopar,Vasai,15-02-2022,12:45:00,12:50:00,Windy,High ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Snacks
wkqq813752515,India Post,4.6,Bhandup,Bandra,18-02-2022,23:30:00,23:45:00,Fog,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Kitchen
vdfj488526028,Dehlivery,5,Ghatkopar,Vasai,01-03-2022,10:50:00,10:55:00,Fog,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Electronics
pngq326709686,Dehlivery,4.1,Ghatkopar,Vasai,23-03-2022,21:25:00,21:40:00,Stormy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
caja224507886,UPS,4.6,Malad,Worli,01-04-2022,10:10:00,10:20:00,Stormy,Low ,motorcycle ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Outdoors
hnme204254454,FedEx,2.5,Bhandup,Vikhroli,16-02-2022,23:00:00,23:05:00,Sandstorms,Low ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Clothing
uehx759760979,India Post,4.9,Bhandup,Borivali,11-03-2022,08:40:00,08:55:00,Cloudy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Books
sdod930462581,FedEx,4.8,Bhandup,Vashi,14-03-2022,17:50:00,17:55:00,Sunny,Medium ,van,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Home
visy471360404,Dehlivery,5,Ghatkopar,Vasai,18-03-2022,20:25:00,20:40:00,Stormy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Electronics
wddq796276216,UPS,1,Malad,Malad,01-04-2022,22:20:00,22:25:00,Sunny,Low ,motorcycle ,Metropolitian,5,0,Failed,2,0,Failed,Failed,7,8,SLA Breached,Outdoors
pqya338067587,FedEx,2.5,Bhandup,Vashi,04-04-2022,23:40:00,23:50:00,Sandstorms,Low ,van,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Clothing
last796029882,FedEx,2.5,Malad,Airoli,11-03-2022,23:25:00,23:30:00,Fog,Low ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Snacks
mzyt873581742,FedEx,4.4,Bhandup,Vashi,13-03-2022,12:40:00,12:55:00,Cloudy,High ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Skincare
kbhb286226770,DHL,4.8,Ghatkopar,Meera Road,04-03-2022,23:30:00,23:45:00,Windy,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Sports
okvp821614347,Dehlivery,4.8,Ghatkopar,Vasai,26-03-2022,23:55:00,00:10:00,Cloudy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Grocery
oska955853002,DHL,4.8,Ghatkopar,Virar,16-03-2022,22:50:00,23:00:00,Windy,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Electronics
rgwl479077727,Dehlivery,4.6,Ghatkopar,Vasai,01-03-2022,10:25:00,10:40:00,Stormy,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Books
tmzv371880726,Dehlivery,4.1,Ghatkopar,Vasai,15-03-2022,08:45:00,09:00:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Apparel
ofxt601212694,Dehlivery,4.6,Malad,Andheri,04-03-2022,21:25:00,21:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Apparel
lbui872023073,DHL,4.8,Ghatkopar,Virar,18-03-2022,22:35:00,22:40:00,Cloudy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
ixfk439251990,DHL,4.1,Ghatkopar,Meera Road,23-03-2022,20:10:00,20:20:00,Fog,Jam ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Books
njfz936670348,Dehlivery,2.5,Malad,Andheri,15-03-2022,10:55:00,11:10:00,Sandstorms,Low ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Sports
drir663128253,UPS,4.1,Malad,Worli,08-03-2022,20:35:00,20:45:00,Cloudy,Jam ,motorcycle ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Skincare
drdr957134932,Dehlivery,4.6,Ghatkopar,Vasai,10-03-2022,23:20:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Outdoors
qrzj427928057,India Post,2.5,Bhandup,Kandivali,11-02-2022,10:35:00,10:50:00,Cloudy,Low ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Books
hkit681446136,Dehlivery,4.6,Malad,Andheri,14-03-2022,23:45:00,23:50:00,Sunny,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Shoes
imnm972342448,India Post,1.6,Bhandup,Kandivali,16-03-2022,19:55:00,20:00:00,Windy,Jam ,motorcycle ,Metropolitian,5,0,Failed,2,0,Failed,Failed,7,8,SLA Breached,Books
wnne890905509,UPS,4.8,Malad,Ulhasnagar,01-03-2022,22:15:00,22:25:00,Sandstorms,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Sports
kbdc711046313,UPS,4.8,Malad,Ulhasnagar,01-03-2022,23:10:00,23:15:00,Sunny,Low ,van,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Kitchen
alem833315854,DHL,4.8,Ghatkopar,Meera Road,30-03-2022,09:15:00,09:30:00,Cloudy,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Sports
khjm619520065,FedEx,4.9,Bhandup,Vashi,02-03-2022,18:25:00,18:35:00,Cloudy,Medium ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
oiay843077855,DHL,4.9,Ghatkopar,Meera Road,20-03-2022,22:10:00,22:20:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Toys
ohhc448549441,Dehlivery,4.6,Ghatkopar,Vasai,03-04-2022,20:50:00,21:05:00,Cloudy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
knul324217390,India Post,4.1,Bhandup,Kandivali,29-03-2022,18:45:00,18:50:00,Fog,Medium ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Clothing
buux572471968,India Post,4.8,Bhandup,Bandra,17-03-2022,14:55:00,15:05:00,Sunny,High ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Shoes
ieue797662723,UPS,4.9,Malad,Worli,17-03-2022,16:50:00,17:00:00,Sandstorms,Medium ,motorcycle ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Books
eztk468187811,DHL,3,Ghatkopar,Virar,15-02-2022,22:20:00,22:35:00,Sandstorms,Low ,scooter ,Metropolitian,5,2,Delivered,2,1,Delivered,1,5,2,Early,Skincare
zzid436960558,DHL,4.9,Ghatkopar,Virar,18-03-2022,00:00:00,00:15:00,Windy,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Clothing
kllk327072475,FedEx,2.5,Malad,Airoli,08-03-2022,21:10:00,21:20:00,Fog,Jam ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Apparel
uurs547552548,DHL,1,Ghatkopar,Virar,17-02-2022,23:25:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian,5,0,Failed,2,0,Failed,Failed,7,8,SLA Breached,Snacks
ubwl989345056,Dehlivery,4.6,Malad,Andheri,31-03-2022,23:30:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Pet Supplies
iimu721647260,FedEx,2.5,Bhandup,Vikhroli,01-03-2022,14:20:00,14:35:00,Sunny,High ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Toys
tfxz025621580,Dehlivery,5,Ghatkopar,Andheri,03-04-2022,10:15:00,10:25:00,Fog,Low ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Sports
kgjb145446786,UPS,4.6,Malad,Ulhasnagar,24-03-2022,21:20:00,21:35:00,Cloudy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Snacks
xrxy085440961,UPS,4.9,Malad,Worli,07-03-2022,08:50:00,08:55:00,Fog,Low ,motorcycle ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Books
pnzt689957903,Dehlivery,2.5,Malad,Andheri,09-03-2022,09:00:00,09:05:00,Cloudy,Low ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Shoes
qrng205617369,DHL,4.9,Ghatkopar,Meera Road,12-03-2022,17:45:00,18:00:00,Windy,Medium ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Pet Supplies
gycd207308146,UPS,4.8,Malad,Thane,24-03-2022,23:10:00,23:15:00,Fog,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Kitchen
wqfy256790455,Dehlivery,4.9,Ghatkopar,Vasai,30-03-2022,16:35:00,16:50:00,Fog,Medium ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Toys
vgjr167867003,FedEx,4.4,Malad,Airoli,05-03-2022,08:30:00,08:40:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Electronics
